review_board_id,review_title,review_content,rating,write_date,edit_date,prod_id,member_id
1,?¼ë?ë¥?ì´‰ì´‰?˜ê²Œ ??ì£¼ëŠ” ë°”ë””?Œì‹œ ì¶”ì²œ?´ìš”,...,1,2024-11-11 0:00,2024-11-11 0:00,3,1
2,?¥ì´ ?ˆë¬´ ê³ ê¸‰?¤ëŸ¬?Œìš”..,,2,2024-11-12 0:00,2024-11-12 0:00,4,2
,,,,,,,
5,ê°œìš´?˜ë‹ˆ ?œì›?´ìš”,¡¦,3,2024-11-15 0:00,2024-11-15 0:00,5,2
6,?œëª©?…ë‹ˆ??,...,5,2024-11-26 19:57,2024-11-26 19:57,5,2
8,erewrwer,...,5,2024-11-26 20:18,2024-11-26 20:18,5,1
9,?œëª©?…ë‹ˆ??,...,1,2024-11-26 20:21,2024-11-26 20:21,5,1
10,?œëª©?…ë‹ˆ??,...,1,2024-11-26 20:22,2024-11-26 20:22,5,1
11,?œëª©?…ë‹ˆ??,...,4,2024-11-26 20:25,2024-11-26 20:25,5,1
12,dwqdwqewe123123123213,...,2,2024-11-26 20:26,2024-11-26 20:26,5,1
13,ì§œì¦?˜ë„¤,...,5,2024-11-26 20:29,2024-11-26 20:29,5,1
14,dwqdwqdqwdqd,...,3,2024-11-26 20:55,2024-11-26 20:55,5,1
